road_id,flood_direct_count,flood_direct_exposure,flood_events_5km,flood_events_10km,flood_nearby_5km,flood_nearby_10km,nearest_flood_distance_km
44848704,3,1,3,3,1,1,0.0
44848705,0,0,3,3,1,1,0.3865271486186698
44848706,3,1,3,3,1,1,0.0
44848708,3,1,3,3,1,1,0.0
44848709,0,0,3,3,1,1,0.6431532248810581
44848710,3,1,3,3,1,1,0.0
44848711,0,0,3,3,1,1,0.4196685322004905
44848714,0,0,3,3,1,1,0.017469412881535713
44848715,0,0,3,3,1,1,0.005480478156692942
44848719,0,0,3,3,1,1,2.5844610935874393
44848721,0,0,0,3,0,1,5.789437343278043
44848722,0,0,0,3,0,1,7.753276398136807
44848724,0,0,3,3,1,1,0.12227963534917248
44848725,0,0,3,3,1,1,0.07661987312253472
44848726,0,0,0,0,0,0,16.811919039262904
44848730,0,0,0,0,0,0,14.249147291575555
44848731,0,0,0,0,0,0,15.586635946186737
44849422,0,0,3,3,1,1,0.35056530868618113
44851378,0,0,0,0,0,0,17.842167086255206
44851383,0,0,0,0,0,0,16.922667200438962
44851389,0,0,0,0,0,0,20.880309435202435
44851769,0,0,3,3,1,1,0.5321310380692457
44880787,0,0,0,0,0,0,43.39348469078109
44880788,0,0,0,0,0,0,39.03128087584069
44880789,0,0,0,0,0,0,39.55866190564627
44880790,0,0,0,0,0,0,42.279135251797705
44880791,0,0,0,0,0,0,40.85243062608588
44880793,0,0,0,0,0,0,11.376596739000881
44880799,0,0,4,4,1,1,3.9282388799696086
44880805,0,0,0,0,0,0,46.10221735181286
44880814,0,0,0,0,0,0,44.87000857201118
44880815,0,0,0,0,0,0,44.94957157503035
44880818,1,1,5,5,1,1,0.0
44880819,4,1,5,5,1,1,0.0
44880823,0,0,0,0,0,0,40.787291481307356
44880832,0,0,0,0,0,0,24.901450356596733
44880833,0,0,0,0,0,0,31.05124733629075
44880834,0,0,0,0,0,0,37.24542496618989
44880835,0,0,0,0,0,0,30.62576748743044
44880836,0,0,0,0,0,0,26.264713359907592
44884390,0,0,0,0,0,0,70.47447373785204
44884391,0,0,0,0,0,0,81.10299209575462
44884394,0,0,0,0,0,0,72.67513596843672
44884395,0,0,0,0,0,0,70.59302007834768
44884396,0,0,0,0,0,0,87.27081808037136
44884397,0,0,0,0,0,0,87.67877284666648
44884398,0,0,0,0,0,0,67.86383087434828
44884399,0,0,0,0,0,0,69.01326729310041
44884401,0,0,0,0,0,0,71.45316888217349
44884404,0,0,0,0,0,0,80.95689807003046
44884405,0,0,0,0,0,0,82.04343489506792
44884408,0,0,0,0,0,0,70.70264729311867
44884409,0,0,0,0,0,0,71.55711617094065
44884411,0,0,0,0,0,0,70.59993932516673
44884938,0,0,4,4,1,1,0.26244477194620314
44884943,0,0,0,0,0,0,25.230875759000547
44884944,0,0,0,0,0,0,34.18493753620796
44884956,4,1,4,4,1,1,0.0
44884957,4,1,4,4,1,1,0.0
44884958,4,1,4,4,1,1,0.0
44884959,4,1,4,4,1,1,0.0
44884960,4,1,4,4,1,1,0.0
44884961,4,1,4,4,1,1,0.0
44884962,0,0,0,0,0,0,16.15989702001502
44884963,0,0,0,0,0,0,19.516255325601403
44884966,0,0,0,0,0,0,37.837459310074166
44884968,0,0,0,0,0,0,49.26814858389454
44884969,0,0,0,0,0,0,50.73512430740164
44884970,0,0,0,0,0,0,55.706540062225415
44886083,0,0,0,0,0,0,70.5217291390448
44886087,0,0,0,0,0,0,73.04418691283679
44886091,0,0,0,0,0,0,60.6717769926891
44886092,0,0,0,0,0,0,66.74086448871843
44886094,0,0,0,0,0,0,51.393659484015764
44886096,0,0,0,0,0,0,50.87705632228105
44886099,0,0,0,0,0,0,45.991316278042696
44886100,0,0,0,0,0,0,42.36954092713965
44886101,0,0,0,0,0,0,40.969579143308536
44886104,0,0,0,0,0,0,38.496367156152566
44886105,0,0,0,0,0,0,33.862866396675976
44886109,0,0,0,0,0,0,56.37154702994108
44886111,0,0,0,0,0,0,49.45786965430206
44886115,0,0,0,0,0,0,25.01219422818718
44886116,0,0,0,0,0,0,23.640914569350002
44886117,0,0,0,0,0,0,17.92243930142159
44886119,0,0,0,0,0,0,17.026500848694372
44886125,0,0,0,8,0,1,6.026791176055364
44886128,0,0,8,8,1,1,0.49252652941178404
44889417,0,0,0,0,0,0,62.12326544901294
44889418,0,0,0,0,0,0,61.29546308569244
44889419,0,0,0,0,0,0,63.100688417380645
44889577,14,1,14,15,1,1,0.0
44892396,9,1,9,9,1,1,0.0
44892410,9,1,9,12,1,1,0.0
44892420,10,1,10,10,1,1,0.0
44892424,10,1,10,10,1,1,0.0
44892438,10,1,10,10,1,1,0.0
44892446,10,1,10,10,1,1,0.0
44892452,9,1,9,10,1,1,0.0
44892492,5,1,10,13,1,1,0.0
44892494,5,1,5,5,1,1,0.0
44892515,10,1,10,10,1,1,0.0
44892517,7,1,7,7,1,1,0.0
44892520,7,1,7,7,1,1,0.0
44892543,7,1,7,7,1,1,0.0
44892545,7,1,7,7,1,1,0.0
44892558,7,1,7,7,1,1,0.0
44892561,7,1,7,7,1,1,0.0
44892570,9,1,12,12,1,1,0.0
44892580,9,1,12,12,1,1,0.0
44898808,6,1,12,12,1,1,0.0
44898849,6,1,12,12,1,1,0.0
44900959,5,1,5,5,1,1,0.0
44902935,8,1,8,11,1,1,0.0
44902940,8,1,8,8,1,1,0.0
44902941,8,1,8,8,1,1,0.0
44902945,8,1,8,11,1,1,0.0
44902946,8,1,8,11,1,1,0.0
44902947,8,1,8,8,1,1,0.0
45763431,0,0,0,0,0,0,10.587988402709298
47387616,8,1,8,8,1,1,0.0
47387617,8,1,8,8,1,1,0.0
47415174,0,0,0,0,0,0,36.917430587412895
47415175,0,0,0,0,0,0,35.77761860699463
47415176,0,0,0,0,0,0,35.46493142009037
47415177,0,0,0,0,0,0,36.23206011402103
47415178,0,0,0,0,0,0,35.71046143558606
47415179,0,0,0,0,0,0,36.011722358016115
47415180,0,0,0,0,0,0,45.122312349404964
47415182,0,0,0,0,0,0,38.35082589193406
47415184,0,0,0,0,0,0,38.90740969288448
47415185,0,0,0,0,0,0,44.25141223637927
47415186,0,0,0,0,0,0,43.34945733937864
47415189,0,0,0,0,0,0,41.605072359395926
47416074,0,0,0,0,0,0,24.1861474475613
47416075,0,0,0,0,0,0,26.274021806579388
47416076,0,0,0,0,0,0,24.940206887621176
47416082,0,0,0,0,0,0,25.914508785686444
47416086,0,0,0,0,0,0,16.115684173131186
47416088,0,0,0,0,0,0,15.253029748977417
47416090,0,0,0,0,0,0,24.940996421653818
47416091,0,0,0,0,0,0,24.605479860874244
47416092,0,0,0,0,0,0,24.068448654976226
47416094,0,0,0,0,0,0,23.21432972220699
47416095,0,0,0,0,0,0,21.83154187439196
47416096,0,0,0,0,0,0,27.067808874698457
47416097,0,0,0,0,0,0,26.259418302885813
47416222,0,0,0,0,0,0,13.191431884028889
47416223,0,0,0,0,0,0,13.323033730602708
47416225,0,0,3,3,1,1,0.3090338863290125
47416226,3,1,3,3,1,1,0.0
47416232,0,0,3,3,1,1,4.617290670944677
47416237,0,0,0,3,0,1,6.686257566225135
47416238,0,0,0,3,0,1,6.755569721684724
47416243,0,0,0,0,0,0,12.312186940228118
47416244,0,0,0,0,0,0,13.839522033051251
47416612,3,1,3,3,1,1,0.0
47416620,0,0,3,3,1,1,0.3478457609155993
47416621,3,1,3,3,1,1,0.0
47416622,3,1,3,3,1,1,0.0
47416623,3,1,3,3,1,1,0.0
47417225,0,0,0,0,0,0,17.041680795080534
47417233,0,0,0,0,0,0,16.846901777277886
47417235,0,0,0,0,0,0,17.80163747815643
47417237,0,0,0,0,0,0,18.372227314118263
47417238,0,0,0,0,0,0,16.853944467618618
47417239,0,0,0,0,0,0,16.770022247784695
47417241,0,0,0,0,0,0,17.0810527655354
47417242,0,0,0,0,0,0,17.536581343139897
47417244,0,0,0,0,0,0,16.887261122183972
47417248,0,0,0,0,0,0,16.78784633170748
47417250,0,0,0,0,0,0,17.46250370700558
47417251,0,0,0,0,0,0,16.910491567980955
47417252,0,0,0,0,0,0,16.775026727019064
47417256,0,0,0,0,0,0,17.240887065564557
47417263,0,0,0,0,0,0,15.745971650282499
48732190,0,0,0,0,0,0,65.68064488428719
48732191,0,0,0,0,0,0,64.69833611358777
48732192,0,0,0,0,0,0,67.1934975493577
48732278,0,0,0,0,0,0,26.66324498426085
48732281,0,0,0,0,0,0,23.83951579336032
48732284,0,0,0,0,0,0,33.33810121287079
48732285,0,0,0,0,0,0,27.747511893731563
48732286,0,0,0,0,0,0,32.92072456517417
