road_id,road_type,name,ref,surface,lanes,maxspeed,oneway,bridge,tunnel,latitude,longitude
44645517,tertiary,,,,,,,,,26.24049983396226,91.74629980188679
44645518,tertiary,,,,,,,,,26.243819129411765,91.75279912941177
44645573,secondary,,,,,,,,,26.28778058921165,91.75904107095432
44645698,residential,,,,,,,,,26.21777347142857,91.73392864285714
44645792,residential,,,,,,,,,26.201338933333332,91.72676082222223
44645794,residential,,,,,,,,,26.197714530000002,91.721044025
44645880,tertiary,,,,,,,,,26.222926773333338,91.71917604333332
44719023,trunk,Assam Trunk Road,NH2,,,,,,,26.949981765000008,94.5429764
44719025,trunk,,NH2,,,,yes,,,27.127815205555557,94.82341844259263
44719026,trunk,,NH2,,,,yes,,,27.242944043749997,94.88752968541662
44719027,trunk,,NH2,,2,,,yes,,27.311769499999997,94.882919
44719028,trunk,,NH2,,,,yes,,,27.30210040571428,94.90128398285714
44719030,trunk,Assam Trunk Road,NH2,,,,,,,26.994045527083326,94.61412839166668
44719031,trunk,,NH2,,,,,,,27.098220155555563,94.71273684920637
44719353,trunk,Assam Trunk Road,NH2,,,,,,,27.01532512037036,94.65882930925922
44719366,trunk,,NH2,,,,,yes,,27.0535476,94.67859985
44719719,trunk,Assam Trunk Road,NH2,,,,,,,26.967344961111106,94.57730016666666
44719721,trunk,,NH2,,,,,yes,,26.98243255,94.5799457
44720068,trunk,,NH2,,2,,yes,,,27.360030651470584,94.86820068382356
44721304,service,,,,,,,,,26.581553784615384,92.99575909230771
44721355,trunk,,NH715,asphalt,2,,yes,yes,,26.6310011,93.73076044999999
44721365,trunk,,NH715,asphalt,2,,,,,26.63709629946525,93.65258713475939
44721415,trunk,,NH715,asphalt,2,,yes,,,26.666418211290328,93.88034048225808
44721457,trunk,,NH715,asphalt,2,,,,,26.586877930769234,93.36189932967034
44721466,trunk,,NH715,,,,,,,26.57129277384615,93.01221919846158
44721584,trunk,,NH715,,,,,,,26.573443487640453,93.14869364044941
44721718,secondary,,,,,,yes,,,26.34588305,92.71880235
44721719,primary,,,,,,,,,26.348427700000002,92.68279118
44721721,trunk,,NH127,,,,yes,,,26.388998487116577,92.8028794171779
44721804,primary,,,,,,yes,,,26.308237543283592,92.63471539402983
44722323,trunk,,NH27,,,,yes,yes,,26.1657042,92.35359735
44722325,trunk,,NH27,,,,,yes,,26.22732095,92.5119316
44733863,secondary,,,,,,,,,26.627473466666668,92.79697700000001
44733864,trunk,,NH17,asphalt,2,,,,,26.334241426530614,90.49743097346938
44733866,trunk,,NH15,,,,,,,26.51190073437499,92.13277298124999
44733867,trunk,,NH15;NH715A,,,,,,,26.590743688461536,92.19036057307692
44733868,trunk,,NH15,asphalt,2,,,,,26.697571673333336,92.29627067333334
44733869,trunk,,NH715,asphalt,2,,,,,26.652232207017544,92.7842382
44734379,trunk,,NH15,,,,,yes,,26.3483862,91.81711985
44734380,trunk,,NH15,,,,,,,26.34553844157304,91.74045071235955
44734381,trunk,,NH15;NH715A,,,,,,,26.673077838888887,92.18758832777777
44734382,trunk,,NH15,,,,,yes,,26.6998119,92.33536445
44734383,trunk,,NH15,,,,,,,26.69909864,92.3321867
44734384,trunk,,NH15,,,,,,,26.70469519904761,92.50975615333331
44734385,trunk,,NH15,,,,,,,26.676962069230775,92.67063201794875
44734387,primary,,,,,,,,,26.86720017727272,92.78906798068179
44734389,primary,,,,,,,,,26.94444562085889,92.7944081711656
44734593,trunk,,NH15,,,,,yes,,26.706783950000002,92.54253969999999
44734594,trunk,,NH15,,,,,yes,,26.70343365,92.44939339999999
44734595,trunk,,NH15,,,,,,,26.692688570999998,92.59698112300003
44734596,trunk,,NH15,,,,,yes,,26.68806325,92.6268475
44736736,trunk,,NH715,asphalt,2,,yes,,,26.5476023,92.90847391333334
44736737,primary,,,,,,,,,26.63896364166667,92.78226811166668
44736738,primary,Doimara-Nichiphu,,,,,,,,27.10185573810597,92.55732782254806
44736739,residential,,,,,,,,,26.627449792857146,92.78757465714286
44736741,residential,,,,,,,,,26.6267423,92.78525959999999
44736742,trunk,,NH13,,,,,,,27.264239418897635,92.4217650228346
44736743,trunk,,NH13,,,,,,,27.26101780537634,92.41679153118275
44736940,trunk,,NH715,,,,yes,,,26.63711991071429,92.83918542857143
44736947,trunk,Kolia Bhomora Setu,NH715,asphalt,2,,yes,yes,,26.59878695,92.85828190000001
44768595,primary,,,,2,,yes,,,26.123683284000002,91.81788156799999
44768597,primary,Kalaguru Bishnuprasad Rabha Flyover,,,,,yes,yes,,26.149904475,91.785204625
44768600,primary,,,,2,,yes,,,26.124008652380954,91.81731142857141
44768708,living_street,,,,,,no,,,26.1201435875,91.82289443750001
44768992,secondary,,,asphalt,,,,,,25.33507121328048,91.73964855312191
44768993,residential,,,,,,,,,25.280459444444446,91.70210613555558
44768994,residential,,,asphalt,,,,,,25.28286132857142,91.71957152499996
44768995,residential,,,asphalt,,,,,,25.284521976923074,91.72051325846152
44768996,unclassified,,,asphalt,,,,,,25.24291854444445,91.72848825277775
44768997,residential,,,asphalt,,,,,,25.285419404999995,91.72060066499999
44768999,secondary,,,,,,,,,25.437468980000006,91.80575594512821
44769003,trunk,,NH6,,,,no,,,25.59855673009709,91.87134800631067
44769004,primary,GS Road,,asphalt,2,30,no,,,25.576970422413797,91.87952441206897
44769125,trunk,,NH306,,,,,,,24.517163279746843,92.78993877004218
44769127,tertiary,,,,,,,,,24.74655271534091,92.72918916420453
44769128,primary,,SH39,asphalt,2,,yes,,,24.802335631578945,92.79312693157894
44769129,primary,Hailakandi Road,SH39,asphalt,,,yes,,,24.805865583333333,92.79459905
44769130,primary,Hailakandi Road,SH39,asphalt,1,,yes,,,24.805877849999998,92.79471497499999
44769131,primary,Hailakandi Road,SH39,asphalt,,,yes,,,24.80862575862069,92.79573891379312
44769326,trunk,Sonai Road,NH306,,,,,,,24.78137099137932,92.81442862413796
44769327,primary,National Highway 44,,asphalt,,,no,,,24.853851635416664,92.36848716666667
44769328,trunk,,NH-8,asphalt,2,,,,,24.30053240185498,92.18342807082634
44769330,trunk,,NH37,asphalt,2,,,,,24.85646895,92.4631276999999
44769333,trunk,,NH37,,,,,,,24.842847310563375,92.62866841549298
44769338,trunk,,NH306,,,,,,,24.69616309191917,92.84143725353537
44769339,trunk,,NH306,,,,,,,24.62299899482758,92.84643205229881
44769340,trunk,,NH306,,,,,,,24.551511665189867,92.83636258607594
44769565,trunk,,NH8,asphalt,2,,,,,24.537884258000005,92.32004677266666
44769567,secondary,Patharkandi,NH8,asphalt,1,,,,,24.599502818749997,92.31993501249998
44769568,trunk,,NH8,asphalt,2,,,,,24.71650447078651,92.3468508606742
44769769,trunk,,NH129,,,,,,,26.009222237086092,93.76423178675499
44769770,trunk,,NH129,,,,,,,25.95263085081079,93.73393525135137
44769771,trunk,,NH129,,,,,,,26.363740045454538,93.8657178863636
44769772,trunk,,NH129,,,,,,,26.19371335106383,93.80064401914892
44769773,trunk,,NH129,asphalt,2,,,,,26.315040848299315,93.86320635306123
44769774,trunk,,NH129,,,,,,,26.402504513235293,93.88925492647054
44769775,trunk,,NH129,,,,,,,26.429685675471692,93.90560415471701
44769776,trunk,,NH129,,,,,,,26.46337166039603,93.92342886237621
44769777,trunk,,NH129,,,,,,,26.521201283050853,93.89539304322031
44769778,trunk,,NH129,,,,,,,26.56295995099999,93.787282739
44769780,trunk,,NH129,,,,,,,26.60399791153846,93.73371467384622
44848664,trunk,,NH10,,,,,,,27.07504874591837,88.43532875102042
44848699,primary,,SH,,,,,,,27.239019127966106,88.29988724915256
44848701,residential,,,asphalt,,,,,,27.290187115000002,88.25720020499999
44848704,trunk,,NH710,,,,,,,27.08567924597701,88.41996405747125
44848705,primary,,SH,,,,,,,27.1333226,88.2781589
44848706,trunk,,NH710,,,,,,,27.092752143809513,88.39504490190475
44848708,trunk,,NH710,,,,,,,27.097995844444455,88.37284414365075
44848709,trunk,,NH710,,,,,,,27.106296997142852,88.36184428142859
44848710,primary,,SH,,,,,,,27.10584229531249,88.34954376718747
44848711,primary,,SH,,,,,,,27.10969717118643,88.33341827288136
44848714,primary,,SH,,,,,,,27.127687148749988,88.30697031937501
44848715,primary,,SH,,,,,,,27.129974740000012,88.2871001352941
44848719,primary,,SH,,,,,,,27.154117088273626,88.28662898143317
44848721,primary,,SH,,,,,,,27.18050404227642,88.309974700813
44848722,primary,,SH,,,,,,,27.19709020692306,88.32608770538461
44848724,trunk,,NH710,,,,,,,27.08391055454546,88.43750465909092
44848725,trunk,Melli Bridge,NH710,,,,,yes,,27.08574472,88.45296456000001
44848726,secondary,,NH510,,,,,,,27.28227862431575,88.26109811452629
44848730,primary,,SH,,,,,,,27.259062807428553,88.29617241942859
44848731,primary,,SH,,,,,,,27.271520991666662,88.28194696833334
44849422,primary,Akar Bridge,SH,,,,,yes,,27.1331221,88.2789518
44851378,secondary,,MDR,,,,,,,27.317648416513762,88.20616740642203
44851383,secondary,,MDR,,4,,,,,27.306298603401384,88.20579384671198
44851389,tertiary,,,asphalt,,,,,,27.31903766056703,88.29638472216493
44851769,secondary,,MDR,,,,,,,27.0918624108108,88.45575360630635
44880787,trunk,,NH206,,,,,,,25.37698086465968,91.87778779692398
44880788,trunk,,NH206,,,,,,,25.213249695454543,92.06017051074382
44880789,trunk,,NH206,,,,,,,25.233956724778757,92.09398624955752
44880790,trunk,,NH206,,,,,,,25.26473831568627,92.09676493823527
44880791,trunk,,NH206,,,,,,,25.29967758960001,92.12261754320004
44880793,trunk,,NH6,,,,,,,25.138727139427292,92.37758240506604
44880799,trunk,,NH6,,,,,,,25.053862533061228,92.39721349469386
44880805,trunk,,NH206,,,,,,,25.231344142399998,91.96367179780012
44880814,track,,,,,,,,,25.21279952982457,91.95790295087718
44880815,path,,,,,,,,,25.21035591020408,91.95354514285714
44880818,trunk,,NH6,asphalt,2,,,,,24.873359552631587,92.58334707894737
44880819,trunk,,NH6,asphalt,2,,,yes,,24.876059050000002,92.5835554
44880823,trunk,,NH206,,,,,,,25.464401688709685,91.82699699677417
44880832,trunk,,NH206,,,,,,,25.44173748333333,92.19627591666666
44880833,trunk,,NH6,,,,no,,,25.5712913047619,91.87389460952383
44880834,trunk,,NH206,,,,,,,25.330975405555552,92.13646281851852
44880835,trunk,,NH206,,,,,,,25.389313042857143,92.15842286428573
44880836,trunk,,NH206,,,,,,,25.428410824731184,92.17857979677422
44884390,trunk,,NH2,,,,yes,,,24.801129109999998,93.93680572000001
44884391,trunk,,NH102,,,,yes,,,24.647346730769225,93.99462421923077
44884394,unclassified,,,,,,,,,24.476577254430374,93.81226864177219
44884395,tertiary,,,,,,,,,24.501892672893767,93.80456094432243
44884396,unclassified,,,,,,,,,24.56242106764706,94.01904097450976
44884397,unclassified,,,,,,,,,24.55631270731707,94.02012288902439
44884398,tertiary,,,,,,,,,24.49875294629629,93.77175499259258
44884399,secondary,,,,,,,,,24.491056447142867,93.77987870999999
44884401,trunk,,NH102,,,,yes,,,24.76729684520548,93.93704425616437
44884404,unclassified,,,,,,,,,24.654382149382723,93.9961063580247
44884405,residential,,,,,,,,,24.660245359259257,94.0099544296296
44884408,unclassified,,,,,,,,,24.762168782352944,93.92807065882353
44884409,unclassified,,,,,,,,,24.7506778,93.93348702
44884411,trunk,,NH2,,,,,,,24.802512114999995,93.938436855
44884938,trunk,,NH37,,,,no,,,24.792055630697664,93.16302984744179
44884943,trunk,,NH37,,,,,,,24.80197839128573,93.46792469485716
44884944,trunk,,NH37,,,,,,,24.848802680201,93.58139669577889
44884956,trunk,NH53,NH37,,,,yes,,,24.831541945454543,92.8025352
44884957,trunk,Manipur Road,NH37,,,,no,,,24.798771160062913,93.04894836572326
44884958,secondary,Lakhipur Town,Lakhipur,,2,40,no,,,24.791946578787872,93.00817506060605
44884959,trunk,Manipur Road,NH37,,,,,,,24.8100141375,93.07268993874999
44884960,trunk,,NH37,,,,,,,24.810932948437504,93.10389132812504
44884961,trunk,Manipur Road,NH37,,,,,,,24.81133175374999,93.09044566125003
44884962,unclassified,,,,,,yes,yes,,24.75967895,93.34680315
44884963,trunk,,NH37,,,,,,,24.755967946698103,93.38034199638372
44884966,trunk,,NH37,,,,,,,24.863199521739126,93.62282635217393
44884968,trunk,,NH37,,,,,,,24.793715899725278,93.71911801071425
44884969,trunk,,NH37,,,,,,,24.803801160000003,93.73705529150007
44884970,trunk,,NH37,,,,,,,24.782081921479712,93.78132523031026
44886083,trunk,,NH2,,,,yes,,,24.80515596,93.93832938
44886087,trunk,,NH2,,,,,,,25.124979236585354,93.9604808670732
44886091,trunk,TIDDIM ROAD,NH2,,,,,,,24.66795830142857,93.78471438571427
44886092,trunk,,NH2,,,,,,,25.241624835200014,94.00934527439992
44886094,trunk,,NH2,,,,,,,25.427375263736263,94.10670024505497
44886096,trunk,,NH2,,,,,,,25.438188743478264,94.11881394000002
44886099,trunk,,NH2,,,,,,,25.495422636158214,94.13083470564972
44886100,trunk,,NH2,,,,,,,25.536168268000004,94.13273937733331
44886101,trunk,,NH2,,,,,yes,,25.5461607,94.1243454
44886104,trunk,,NH2,,,,,yes,,25.571988150000003,94.12122
44886105,trunk,,NH2,,,,,,,25.619735175925932,94.11202497777782
44886109,trunk,,NH2,,,,,,,25.36609506800001,94.07359010755556
44886111,trunk,,NH2,,,,,,,25.461987685211266,94.13659708239436
44886115,trunk,,NH29,,,,,,,25.685257691666646,94.06060580789467
44886116,trunk,,NH29,,,,,yes,,25.6856634,94.04162325
44886117,trunk,,NH29,,,,,,,25.735240247321435,94.01598707500001
44886119,trunk,,NH29,,,,,,,25.736948188888885,94.00570445555556
44886125,trunk,,NH29,,,,yes,,,25.76251243760683,93.8314958854701
44886128,primary,,,,,,yes,,,25.839727767469878,93.77564652831327
44889417,trunk,,NH2,,,,,,,25.29601932368421,94.04049121315789
44889418,trunk,,NH2,,,,,,,25.305403487499998,94.04402751250001
44889419,trunk,,NH2,,,,,yes,,25.284886550000003,94.03587525
44889577,primary,,,,,,,,,26.62767920833333,92.7928299666667
44892396,trunk,,NH17,,,,,,,25.969852387499998,91.2237211875
44892410,trunk,,NH17,,,,,,,26.043939669999997,91.37147339999999
44892420,service,,,,,,,,,26.12735012857143,90.56970944285713
44892424,trunk,,NH17,,,,yes,,,26.168437911764705,90.54809316764707
44892438,trunk,,NH17,,,,,,,26.048803293333332,90.63634008833333
44892446,trunk,,NH17,,,,,,,25.981699518181824,90.78706193636363
44892452,trunk,,NH17,asphalt,,,,,,25.940513537499996,91.14059568750001
44892492,service,,,,,,,,,26.229801962499998,90.57225885
44892494,trunk,,NH17,asphalt,,,,,,26.36856163636364,90.63518500909092
44892515,trunk,Naranarayan Setu,NH17,,,,,yes,,26.20903845,90.55998650000001
44892517,trunk,,NH27,,,,yes,yes,,26.56850015,90.2113559
44892520,trunk,,NH27,,,,yes,,,26.558521065625,90.2886782875
44892543,trunk,,NH27,,,,yes,yes,,26.54124065,90.10558515
44892545,trunk,,NH27,,,,yes,,,26.567471082926836,90.20419984634145
44892558,trunk,,NH27,,,,yes,yes,,26.5185124,90.03687735
44892561,trunk,,NH27,,,,yes,,,26.552321268354437,90.09359408354435
44892570,trunk,,NH17,,,,yes,,,26.11830475063291,91.61629209240505
44892580,trunk,,NH17,,,,yes,,,26.14590647619049,91.6461332079365
44898808,tertiary,Pandu Kamakhya Road,,asphalt,2,,no,,,26.167913894285718,91.69806771071424
44898849,tertiary,Pandu Road,,,,,,,,26.165470671111116,91.69041305111112
44900959,tertiary,,,,,,,,,26.370076024999996,90.628857375
44902935,trunk,,NH17,asphalt,,,,,,26.241707149180336,90.21749139016396
44902940,trunk,,NH17,,,,,yes,,26.149353249999997,89.8089158
44902941,trunk,,NH17,,,,,,,26.235771657954547,89.77919052045456
44902945,trunk,,NH17,,,,,,,26.265795476000008,90.426074162
44902946,trunk,,NH17,,,,,yes,,26.2527788,90.27283424999999
44902947,trunk,,NH17,,,,,yes,,26.318697399999998,90.46978920000001
45763431,tertiary,Madhabpur Lake Road,,asphalt,,,,,,24.282059800000003,91.8325648
47387616,secondary,,,,,,,,,26.985103233333334,94.63790163333334
47387617,unclassified,,,,,,,,,26.984865800000005,94.63269246666665
47415174,tertiary,North Sikkim Highway,NH310A,,,,,,,27.52738832296297,88.5967609674074
47415175,secondary,North Sikkim Highway,NH310A,,,,,,,27.516929454411777,88.58671482352943
47415176,secondary,North Sikkim Highway,NH310A,,,,,,,27.509902959999987,88.53955728857139
47415177,secondary,North Sikkim Highway,NH310A,,,,,,,27.517356322388057,88.5426212358209
47415178,secondary,North Sikkim Highway,NH310A,unpaved,,,,,,27.515332053846148,88.56796469615385
47415179,secondary,North Sikkim Highway,NH310A,,,,,,,27.516757044897975,88.55394628163269
47415180,tertiary,North Sikkim Highway,NH310A,,,,,,,27.59910603069306,88.64745012376233
47415182,tertiary,North Sikkim Highway,NH310A,,,,,,,27.539760169819832,88.62087847792787
47415184,tertiary,North Sikkim Highway,NH310A,,,,,,,27.544103631578956,88.6317983026316
47415185,tertiary,North Sikkim Highway,NH310A,,,,,,,27.590852936231883,88.65087065072466
47415186,tertiary,North Sikkim Highway,NH310A,,,,,,,27.582521858461554,88.65210352692306
47415189,tertiary,North Sikkim Highway,NH310A,,,,,,,27.566741196825394,88.65134540952381
47416074,trunk,North Sikkim Highway,NH310A,,,,,,,27.41129551770834,88.57314449131951
47416075,trunk,North Sikkim Highway,NH310A,,,,,,,27.431333282291657,88.598132309375
47416076,trunk,North Sikkim Highway,NH310A,,,,,,,27.419111269827575,88.60887313275863
47416082,trunk,North Sikkim Highway,NH310A,,,,,,,27.42789971060606,88.58813822727268
47416086,primary,Baluakhani,,,,,,,,27.33900517857143,88.61400902857142
47416088,tertiary,Tibet Road,,asphalt,,,,,,27.331093928571427,88.61497146190476
47416090,trunk,North Sikkim Highway,NH310A,,,,,,,27.41837045049505,88.62158579900988
47416091,trunk,North Sikkim Highway,NH310A,,,,,,,27.41464353387096,88.62874986612898
47416092,trunk,North Sikkim Highway,NH310A,,,,,,,27.410064913698633,88.62587160273975
